Seed,Config,Step,Gain,Null_Depth,PTNR
3,hardware_coupled_lr1_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr1_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr1_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr1_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr1_pgw0.5,Post-LR Step 5,-2.123575916640249,-18.928261455811416,52.92828501884891
3,hardware_coupled_lr1_pgw0.5,Post-LR Step 10,-2.123590659215374,-16.93141865055722,50.93142747101959
3,hardware_coupled_lr1_pgw0.5,Post-LR Step 15,-2.1236025206027023,-16.081516584126092,50.08151354320113
3,hardware_coupled_lr1_pgw0.5,Post-LR Step 20,-2.123610625069638,-15.649754376233673,49.64974323084178
4,hardware_coupled_lr1_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
4,hardware_coupled_lr1_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr1_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr1_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
4,hardware_coupled_lr1_pgw0.5,Post-LR Step 5,-2.123575916640249,-18.928261455811416,52.92828501884891
4,hardware_coupled_lr1_pgw0.5,Post-LR Step 10,-2.123590659215374,-16.93141865055722,50.93142747101959
4,hardware_coupled_lr1_pgw0.5,Post-LR Step 15,-2.1236025206027023,-16.081516584126092,50.08151354320113
4,hardware_coupled_lr1_pgw0.5,Post-LR Step 20,-2.123610625069638,-15.649754376233673,49.64974323084178
0,hardware_coupled_lr1_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
0,hardware_coupled_lr1_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr1_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr1_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
0,hardware_coupled_lr1_pgw0.9,Post-LR Step 5,-2.123575916640249,-18.928261455811416,52.92828501884891
0,hardware_coupled_lr1_pgw0.9,Post-LR Step 10,-2.123590659215374,-16.93141865055722,50.93142747101959
0,hardware_coupled_lr1_pgw0.9,Post-LR Step 15,-2.1236025206027023,-16.081516584126092,50.08151354320113
0,hardware_coupled_lr1_pgw0.9,Post-LR Step 20,-2.123610625069638,-15.649754376233673,49.64974323084178
1,hardware_coupled_lr1_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
1,hardware_coupled_lr1_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr1_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr1_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
1,hardware_coupled_lr1_pgw0.9,Post-LR Step 5,-2.123575916640249,-18.928261455811416,52.92828501884891
1,hardware_coupled_lr1_pgw0.9,Post-LR Step 10,-2.123590659215374,-16.93141865055722,50.93142747101959
1,hardware_coupled_lr1_pgw0.9,Post-LR Step 15,-2.1236025206027023,-16.081516584126092,50.08151354320113
1,hardware_coupled_lr1_pgw0.9,Post-LR Step 20,-2.123610625069638,-15.649754376233673,49.64974323084178
2,hardware_coupled_lr1_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
2,hardware_coupled_lr1_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr1_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr1_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
2,hardware_coupled_lr1_pgw0.9,Post-LR Step 5,-2.123575916640249,-18.928261455811416,52.92828501884891
2,hardware_coupled_lr1_pgw0.9,Post-LR Step 10,-2.123590659215374,-16.93141865055722,50.93142747101959
2,hardware_coupled_lr1_pgw0.9,Post-LR Step 15,-2.1236025206027023,-16.081516584126092,50.08151354320113
2,hardware_coupled_lr1_pgw0.9,Post-LR Step 20,-2.123610625069638,-15.649754376233673,49.64974323084178
3,hardware_coupled_lr1_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr1_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr1_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr1_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr1_pgw0.9,Post-LR Step 5,-2.123575916640249,-18.928261455811416,52.92828501884891
3,hardware_coupled_lr1_pgw0.9,Post-LR Step 10,-2.123590659215374,-16.93141865055722,50.93142747101959
3,hardware_coupled_lr1_pgw0.9,Post-LR Step 15,-2.1236025206027023,-16.081516584126092,50.08151354320113
3,hardware_coupled_lr1_pgw0.9,Post-LR Step 20,-2.123610625069638,-15.649754376233673,49.64974323084178
4,hardware_coupled_lr1_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
4,hardware_coupled_lr1_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr1_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr1_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
4,hardware_coupled_lr1_pgw0.9,Post-LR Step 5,-2.123575916640249,-18.928261455811416,52.92828501884891
4,hardware_coupled_lr1_pgw0.9,Post-LR Step 10,-2.123590659215374,-16.93141865055722,50.93142747101959
4,hardware_coupled_lr1_pgw0.9,Post-LR Step 15,-2.1236025206027023,-16.081516584126092,50.08151354320113
4,hardware_coupled_lr1_pgw0.9,Post-LR Step 20,-2.123610625069638,-15.649754376233673,49.64974323084178
0,hardware_coupled_lr2_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
0,hardware_coupled_lr2_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr2_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr2_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
1,hardware_coupled_lr2_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
1,hardware_coupled_lr2_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr2_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr2_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
2,hardware_coupled_lr2_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
2,hardware_coupled_lr2_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr2_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr2_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr2_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr2_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr2_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr2_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
4,hardware_coupled_lr2_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
4,hardware_coupled_lr2_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr2_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr2_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
0,hardware_coupled_lr2_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
0,hardware_coupled_lr2_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr2_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr2_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
1,hardware_coupled_lr2_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
1,hardware_coupled_lr2_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr2_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr2_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
2,hardware_coupled_lr2_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
2,hardware_coupled_lr2_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr2_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr2_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr2_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr2_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr2_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr2_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
4,hardware_coupled_lr2_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
4,hardware_coupled_lr2_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr2_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr2_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
0,hardware_coupled_lr2_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
0,hardware_coupled_lr2_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr2_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr2_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
1,hardware_coupled_lr2_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
1,hardware_coupled_lr2_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr2_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr2_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
2,hardware_coupled_lr2_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
2,hardware_coupled_lr2_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr2_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr2_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr2_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr2_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr2_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr2_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
4,hardware_coupled_lr2_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
4,hardware_coupled_lr2_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr2_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr2_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
0,hardware_coupled_lr5_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
0,hardware_coupled_lr5_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr5_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr5_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
1,hardware_coupled_lr5_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
1,hardware_coupled_lr5_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr5_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr5_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
2,hardware_coupled_lr5_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
2,hardware_coupled_lr5_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr5_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr5_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr5_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr5_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr5_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr5_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
4,hardware_coupled_lr5_pgw0.1,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
4,hardware_coupled_lr5_pgw0.1,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr5_pgw0.1,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr5_pgw0.1,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
0,hardware_coupled_lr5_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
0,hardware_coupled_lr5_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr5_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr5_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
1,hardware_coupled_lr5_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
1,hardware_coupled_lr5_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr5_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr5_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
2,hardware_coupled_lr5_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
2,hardware_coupled_lr5_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr5_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr5_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr5_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr5_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr5_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr5_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
4,hardware_coupled_lr5_pgw0.5,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
4,hardware_coupled_lr5_pgw0.5,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr5_pgw0.5,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
4,hardware_coupled_lr5_pgw0.5,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
0,hardware_coupled_lr5_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
0,hardware_coupled_lr5_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr5_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
0,hardware_coupled_lr5_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
1,hardware_coupled_lr5_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
1,hardware_coupled_lr5_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr5_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
1,hardware_coupled_lr5_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
2,hardware_coupled_lr5_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
2,hardware_coupled_lr5_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr5_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
2,hardware_coupled_lr5_pgw0.9,Post-AP Step,-2.1235662787948755,-117.15097555099757,151.15100875188045
3,hardware_coupled_lr5_pgw0.9,Initial Ideal Weights,1.3500311979441904e-13,-115.96006203505404,152.08366151473192
3,hardware_coupled_lr5_pgw0.9,Post-Initial Hardware Projection,-2.1128020355699917,-117.2600971036165,151.27089454772425
3,hardware_coupled_lr5_pgw0.9,Post-Offset Controller Application,-2.1128020355699917,-117.2600971036165,151.27089454772425
